followers_count,friends_count,statuses_count
346960,972,37439
244570,1691,204374
213684,1723,5383
188269,82688,375785
183074,110352,80315
171787,731,38136
148665,10201,168130
130761,772,42652
128386,72297,219183
125683,28,1216425
125683,28,1216425
115186,55522,692669
110081,37615,226119
107419,102975,149500
106938,1139,132203
106938,1139,132203
103468,576,34521
103264,42844,3280
94835,7504,47952
89485,20856,27580
83257,81448,632607
81112,4497,86855
78455,352,69140
78047,56005,332950
78045,56005,332947
78044,56005,332931
72326,61888,434777
66857,39676,383550
66857,39676,383551
64352,66998,18574
62371,50736,556366
61122,65695,324072
55749,49000,197563
55749,49000,197563
54903,47778,252196
54903,47778,252196
54902,47778,252196
52867,50269,266047
52867,50269,266047
52867,50269,266047
52473,923,84251
52344,50799,102564
52342,50765,102529
51538,14613,93714
50803,51455,366181
49305,32293,35925
49305,32293,35927
47448,45553,153945
47448,45553,153948
47448,45553,153949
47448,45553,153949
47448,45553,153953
47373,47704,271442
46480,2565,14891
46480,2565,14891
46068,7559,167222
45954,36415,46010
45040,6802,5602
43291,1150,41745
43291,1150,41745
43283,17222,49368
42223,45494,139037
41030,15247,22477
39630,38271,77136
39549,39056,73808
38579,39202,307282
38579,39202,307282
38561,38727,437260
38249,777,121948
37650,40232,76717
36956,39794,486259
34587,24454,95723
34587,24454,95723
34563,416,9181
34178,33978,287232
34056,37466,332218
34056,37466,332218
33875,1067,61268
33789,33963,461205
33250,2450,405959
33004,20890,30349
33004,20890,30349
32755,28222,37119
31731,31501,75569
31004,32915,673446
31003,32915,673445
30596,33128,336556
30431,26921,51497
29975,31764,253534
29157,3120,16211
28683,26149,119644
28427,29112,157248
28421,29366,32695
28000,28713,25432
27642,27638,21154
27264,27503,95426
27221,499,290691
26478,993,256001
26306,22764,163064
25149,8885,116356
25081,3107,63391
25073,6140,216160
24711,21001,71921
24656,10271,21661
24591,15432,64688
24526,2226,14760
23939,23760,143205
23939,23760,143205
23741,21903,29746
23741,21903,29748
23738,21914,29757
23730,21608,164332
23730,21608,164332
23366,23238,41875
23306,646,79769
23305,646,79768
23305,646,79769
23234,11697,24138
23000,24729,141288
23000,24729,141293
22993,387,9508
22960,3559,75822
22336,24546,67453
22313,23616,18573
22313,23616,18573
22313,23616,18574
22229,20953,501258
22229,20953,501258
22194,20477,27076
21489,21517,41126
21258,23140,55190
21037,22200,53979
20788,6180,119298
20774,21225,276066
20566,21847,185138
20503,8239,25071
20458,10328,30590
20135,21686,33820
20135,21686,33820
20052,17857,625677
19888,19674,98018
19672,18915,21098
19505,19086,78320
19497,10892,95426
19411,18235,29460
19233,19230,33057
19233,19230,33068
19169,18411,645995
18993,18831,359673
18993,18831,359678
18993,18831,359685
18869,20259,78965
18600,19820,60917
18530,13032,262945
18418,1497,20880
18418,1497,20880
18095,338,56772
18039,17910,10135
18021,18873,105079
17998,4664,254390
17998,4664,254392
17710,2047,27063
17633,18673,260102
17413,405,1957
17380,18993,158904
17157,17005,29781
17140,14202,63313
16807,18468,68281
16671,17240,28846
16646,3184,89356
16615,66,150801
16488,8389,64206
16386,15337,110394
16012,15413,133306
15935,15796,93002
15743,15884,158206
15743,15884,158206
15743,15884,158213
15741,4504,84761
15741,4504,84763
15682,17114,110677
15682,17114,110678
15669,16034,12893
15663,16582,33703
15656,16970,125837
15397,7188,70344
15135,618,23397
15074,5069,110913
15048,248,51981
14950,11197,733727
14886,15962,60021
14884,14988,131928
14721,575,92097
14681,14666,100834
14681,14666,100836
14619,460,4586
14605,505,114161
14480,14538,149041
14375,442,45046
14314,14338,28676
14160,6620,6106
14120,429,32689
14079,14055,366947
14029,15408,183240
14029,15408,183245
13782,837,93454
13385,13989,91360
13283,13678,59782
13283,13680,59796
13263,53,3361
13172,13295,36489
13061,13076,32366
13022,11210,50199
12959,11585,335435
12843,1095,95974
12563,13787,74056
12547,13795,134254
12484,12660,209787
12484,12660,209836
12409,3377,13137
12394,11490,230191
12286,12290,88304
12284,7740,59516
12130,1566,16416
12124,12212,40893
12023,35,142419
12022,4385,88089
11999,12190,11261
11991,12097,28871
11986,12092,261503
11986,12092,261505
11983,12092,261503
11893,11989,55968
11763,11941,158198
11726,12795,34668
11687,3566,13660
11613,4360,77742
11556,51,1545
11544,10937,31211
11539,12692,214977
11523,11676,234067
11497,9048,97577
11497,9048,97577
11497,9049,97580
11489,11773,17212
11480,3329,54482
11391,6233,142303
11370,12412,95345
11370,12412,95352
11329,10787,131809
11292,12161,11056
11276,10220,63279
11208,4651,83072
11196,1339,17879
11182,7274,577344
11128,11110,412600
11061,11783,84365
11060,8411,45197
10911,4972,14076
10847,11601,101077
10783,268,9386
10707,10005,287057
10663,11726,136295
10618,10890,47942
10585,10967,82933
10564,1451,72300
10503,4848,165051
10493,9947,162720
10463,10782,91301
10436,9526,68162
10315,870,21556
10226,11220,107134
10210,7820,45438
10205,1391,67748
10129,11130,53130
10125,10890,128600
9993,10897,80153
9849,10711,49583
9808,551,19022
9804,10751,91812
9804,10751,91814
9690,10365,40040
9690,10365,40042
9686,10430,195847
9667,4347,35100
9656,2805,81107
9634,755,18946
9586,10540,91981
9535,4841,79987
9465,9264,55207
9427,9447,34436
9425,9916,136759
9401,321,101536
9340,13034,165490
9333,9302,352823
9333,9302,352823
9324,4114,690
9266,4274,16748
9252,10149,31926
9241,2891,28311
9155,9726,601498
9155,9726,601498
9149,9515,64931
9144,7834,24204
9037,7831,41307
9001,9105,13846
9000,9105,13846
