followers_count,friends_count,statuses_count
122,96,7334
1199,3392,31143
634,795,23838
42,514,619
539,116,9931
3569,3852,4359
552,1138,4715
8166,224,26898
198,799,16290
61,241,15239
7399,8156,85761
100,299,8573
320,242,5946
46,59,22448
5,154,74
1640,168,37881
191,363,2574
67,244,1730
604,862,26221
2,33,221
2460,698,527
3070,3360,6336
601,193,19315
1083,923,17778
1242,1222,18526
382,275,19345
166,332,3297
1995,2128,14068
3128,1650,5435
57,46,3038
68,373,2487
696,487,25041
7363,5556,36721
107,62,990
63,538,2313
7480,4800,172361
236,1178,12737
0,25,29
4859,3176,2953
24711,21001,71921
13,50,901
215,1175,17381
777,2797,103497
502,509,1291
60,71,1426
8,30,2171
190,500,14955
26,309,376
82,531,3711
104,611,90610
1745,3812,7727
758,1772,43261
2,82,85
144,184,1016
86,446,14878
14029,15408,183240
6,118,21
166,332,3297
467,2935,17102
920,771,21843
69,162,368
705,1293,10390
14,28,216
1040,518,127742
99,167,4966
748,810,5353
589,602,5907
323,328,30973
278,294,3306
5426,5964,94690
31003,32915,673445
192,87,18466
4052,4976,51268
2476,3480,10566
45,127,1730
515,956,4055
10663,11726,136295
692,1239,31560
82,272,367
84,385,6905
1342,1691,45042
15,11,4386
1423,2731,21121
5011,5009,321647
1363,396,9401
97,174,7501
199,1379,5245
63,193,2012
10911,4972,14076
268,887,12981
238,268,6474
81,544,2893
2281,1289,51933
2910,2979,107113
14619,460,4586
967,967,222737
828,534,249256
3223,1960,110590
456,995,42795
1,50,196
77,42,13748
3099,4068,584923
12286,12290,88304
670,1165,14937
1338,1946,11769
11,37,249
64,507,1211
956,1142,14701
180,1057,13067
217,811,20685
343,438,12434
33,354,1637
264,496,591
186,506,1144
18993,18831,359673
63,261,5741
310,77,7102
226,839,467
5666,4983,239894
465,364,3671
76,260,112
1065,2031,92694
47448,45553,153945
4,128,101
1564,1485,2516
275,544,4295
710,534,54435
4521,985,124642
395,1015,4586
11,91,87
1114,2127,10189
3483,4986,118133
1126,1459,154602
527,268,49404
4151,4938,91131
1049,833,231472
0,44,52
38,106,7225
8,170,393
489,13,61349
39630,38271,77136
150,957,4694
101,199,7997
668,1667,2555
1130,986,4208
588,569,129418
24,55,490
95,214,4314
207,641,872
3109,4560,3563
1556,1879,103457
24526,2226,14760
203,1047,2460
3246,3006,61733
370,271,16051
526,503,62616
1875,591,158827
353,500,3743
2314,522,8821
669,1453,8618
963,2376,69908
206,1584,19194
279,719,4514
304,218,39094
530,1359,2487
28421,29366,32695
405,643,12662
5499,2651,15876
43283,17222,49368
386,370,11870
2430,2662,7470
3749,4981,29537
10,124,3225
4,22,453
2284,380,29852
1497,2405,2219
110,92,3128
764,342,18304
227,182,4235
338,67,27733
3596,2367,596490
17998,4664,254390
978,3611,5882
4588,3839,19561
230,762,16267
160,401,1919
12,103,234
5709,5172,22731
1850,4999,8511
57,52,1646
133,172,206
52,403,171
7033,7490,211574
18,128,216
2001,1954,21573
1903,2136,39967
152,291,7814
90,301,20464
68,200,1558
244,224,106
9993,10897,80153
8,4,377
77,96,305
3373,1410,20718
101,212,1211
1180,417,89661
19,361,182
51,118,3958
92,98,3082
6368,6989,78740
67,36,20698
137,368,1558
688,2131,78348
927,946,78403
6,68,774
1092675,42,169961
15074,5069,110913
1198,892,86749
1095,1497,31033
22194,20477,27076
15,52,942
73,137,927
6071,6601,381097
110,203,721
55,127,1282
140,147,22097
785,787,5970
699,1169,628
87,200,14256
150,611,32206
10,231,32
5,35,137
15743,15884,158206
683,1661,24854
808,2310,50782
482,499,8365
121,55,213
255,540,1484
2429,4507,31355
229,103,5655
4827,2715,33904
1404,899,44000
267,348,17265
94,140,21395
858,1877,54631
175,224,2380
9252,10149,31926
82,446,429
324,960,6747
21258,23140,55190
7,201,555
37,586,1066
1389,3325,4394
1575,1739,4007
1138,490,7746
1992,1724,1121
78,215,1682
817,787,29505
797,154,42994
467,784,23147
0,23,8
360,496,4187
3173,2962,42377
539,723,27110
110,108,3399
266,155,19286
444,1062,8294
8420,8234,44818
57,151,4283
641,771,12667
3921,402,155082
16,45,2501
6570,6161,246821
891,89,31630
875,598,63298
807,744,11585
54,237,15150
574,580,83344
5708,5933,449690
1027,926,28944
195,472,5450
1822,1993,8256
410,354,5936
1768,4985,92362
24,655,649
1724,193,15117
5275,539,2625
15741,4504,84761
669,1883,10472
331,1509,26195
110081,37615,226119
516,947,3651
314,341,3778
445,1159,77550
6936,2636,4834
647,789,8569
50,114,1407
278,294,3307
129,309,3098
1089,966,59406
23305,646,79768
107,181,2051
153,196,19610
1940,1972,21932
137,12,198975
9,34,314
103,1400,10558
285,1213,133
1010,2067,5505
559,499,81073
31,183,686
194,1309,2822
745,755,2994
807,744,11585
551,800,39912
576,833,4464
192,342,6586
86,481,20092
7,266,531
345,66,4060
236,213,16744
2447,746,28696
2711,4006,790481
4048,4670,20993
279,380,6786
379,297,15035
516,296,29298
817,795,18697
1643,2609,69285
449,630,1625
262,423,2773
998,988,2376
41,214,849
345,635,6842
19,193,1773
870,1006,12205
6035,6576,64367
34,150,1930
292,288,400
5,82,815
857,818,20765
1263,23,41486
1904,209,11029
2731,2260,97863
704,2641,77439
298,735,19117
399,366,14611
380,902,5018
569,162,16583
64,77,5101
23,303,1250
121,543,10014
578,666,184828
275,193,64278
3744,4040,75971
5056,5376,20758
595,557,9433
64,275,15950
